leg,rmse_mm,max_mm,excursion_cm
1,3.25595204322456,8.28326351712987,21.9184204501298
2,3.33084144010335,8.31882941328544,21.9583873941326
3,3.54243201269878,8.63052163661731,22.0334911251901
4,3.29778203708881,8.27067778454171,21.918871440172
5,3.30814360461468,8.32601099515821,21.9543082171607
6,3.56177362589909,8.62155908085113,22.007447308829
