JointIndex,RMSE_deg
1,0.189663034976348
2,0.525367301437447
3,0.373454695795536
4,0.236109887576389
5,0.508909125718413
6,0.335865756527901
7,0.166146201119521
8,0.524504576059778
9,0.509982710349278
10,0.191330963406908
11,0.534036125857598
12,0.385778626516416
13,0.226778643320049
14,0.504527799650582
15,0.332187695869003
16,0.175192683170518
17,0.518983895782417
18,0.506900723345743
